,0
lunch_standard,0.39615879488492095
test_preparation_none,0.329753897837232
gender_male,0.10205608211808144
parental_education_high school,0.05231701541924056
race_ethnicity_group D,0.02689645712590988
race_ethnicity_group E,0.02027025506977844
parental_education_some high school,0.01934379900957083
race_ethnicity_group B,0.015905969920142593
parental_education_some college,0.01580544790632164
race_ethnicity_group C,0.015560467020468342
parental_education_bachelor's degree,0.005931813688333198
parental_education_master's degree,0.0
